Experiment,Model,Run,TP,FP,FN,Total_AS,Precision,Recall,F1,AS1 capacitor adoption,AS2 social learning,AS3 transformer authorization,AS4 mutual exchange,AS5 authorization/investment,AS6 groundwater extraction
ODD + game_stuff,Llama-3.3-70B,run_14.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_15.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_16.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_17.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_18.md,4,1,2,5,0.8000,0.6667,0.7273,1,0,0,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_19.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_20.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_21.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_22.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_23.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_24.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_25.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_26.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_27.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_28.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_29.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_30.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_01.md,5,2,1,7,0.7143,0.8333,0.7692,1,1,0,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_02.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_03.md,6,2,0,8,0.7500,1.0000,0.8571,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_04.md,5,5,1,10,0.5000,0.8333,0.6250,1,1,0,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_05.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_06.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_07.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_08.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_09.md,4,1,2,5,0.8000,0.6667,0.7273,1,0,1,1,0,1
ODD + game_stuff,Qwen2.5-7B,run_10.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_11.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_12.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_13.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_14.md,5,5,1,10,0.5000,0.8333,0.6250,1,1,0,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_15.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_16.md,6,3,0,9,0.6667,1.0000,0.8000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_17.md,5,5,1,10,0.5000,0.8333,0.6250,1,0,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_18.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_19.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_20.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_21.md,4,0,2,4,1.0000,0.6667,0.8000,1,0,0,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_22.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_23.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_24.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_25.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_26.md,6,3,0,9,0.6667,1.0000,0.8000,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_27.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_28.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_29.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Qwen2.5-7B,run_30.md,6,2,0,8,0.7500,1.0000,0.8571,1,1,1,1,1,1
